product,ticker,quantity,start_date,end_date,avg_cost,total_cost,current_value,current_money_weighted_return,realized_return,net_return,current_performance_percentage,net_performance_percentage
Tilray Brands,TLRY,0.0,2020-10-01,2021-06-01,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2020-10-01,2021-06-01,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2020-10-01,2021-06-01,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2020-10-01,2021-06-01,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2020-10-01,2021-06-01,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2020-10-01,2021-06-01,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2020-10-01,2021-06-01,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
MongoDB,MDB,1.0,2020-10-01,2021-06-01,300.16,300.16,289.74,-10.42,-0.5,-10.92,-3.47,-3.64
Emerging markets,SUSM.L,14.0,2020-10-01,2021-06-01,6.64,93.02,127.72,34.7,-4.05,30.65,37.3,32.94
Pacific,UIMT.AS,2.0,2020-10-01,2021-06-01,67.07,134.14,137.98,3.84,-2.04,1.8,2.86,1.34
Europe,IESE.AS,4.0,2020-10-01,2021-06-01,49.74,198.98,229.6,30.62,-2.06,28.56,15.39,14.35
USA,UIMP.AS,3.0,2020-10-01,2021-06-01,127.04,381.12,434.28,53.16,-2.11,51.05,13.95,13.39
Full portfolio,,30.0,2020-10-01,2021-06-01,100.86,3025.94,2070.14,228.92,-240.1,-11.18,7.57,-0.37
PayPal,PYPL,2.0,2020-10-01,2021-07-01,229.16,458.32,578.0,119.68,-1.0,118.68,26.11,25.89
Cloudflare,NET,4.0,2020-10-01,2021-07-01,68.87,275.48,417.56,142.08,-1.02,141.06,51.58,51.21
Tilray Brands,TLRY,0.0,2020-10-01,2021-07-01,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2020-10-01,2021-07-01,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2020-10-01,2021-07-01,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2020-10-01,2021-07-01,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2020-10-01,2021-07-01,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2020-10-01,2021-07-01,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2020-10-01,2021-07-01,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
MongoDB,MDB,1.0,2020-10-01,2021-07-01,300.16,300.16,357.93,57.77,-0.5,57.27,19.25,19.08
Emerging markets,SUSM.L,14.0,2020-10-01,2021-07-01,6.64,93.02,128.84,35.82,-4.05,31.77,38.5,34.15
Pacific,UIMT.AS,2.0,2020-10-01,2021-07-01,67.07,134.14,141.04,6.9,-2.04,4.86,5.14,3.62
Europe,IESE.AS,4.0,2020-10-01,2021-07-01,49.74,198.98,236.52,37.54,-2.06,35.48,18.87,17.83
USA,UIMP.AS,3.0,2020-10-01,2021-07-01,127.04,381.12,463.5,82.38,-2.11,80.27,21.62,21.06
Full portfolio,,30.0,2020-10-01,2021-07-01,100.86,3025.94,2323.39,482.17,-240.1,242.07,15.93,8.0
PayPal,PYPL,2.0,2020-10-01,2021-08-01,229.16,458.32,551.06,92.74,-1.0,91.74,20.23,20.02
