product,ticker,quantity,start_date,end_date,avg_cost,total_cost,current_value,current_money_weighted_return,realized_return,net_return,current_performance_percentage,net_performance_percentage
Europe,IESE.AS,15.0,2024-01-01,2024-01-07,58.12,871.76,952.8,81.04,-11.69,69.35,9.3,7.96
USA,UIMP.AS,9.0,2024-01-01,2024-01-07,151.45,1363.08,1608.12,245.04,-3.11,241.93,17.98,17.75
PayPal,PYPL,3.0,2024-01-01,2024-01-07,188.81,566.43,180.36,-386.07,-1.5,-387.57,-68.16,-68.42
Cloudflare,NET,0.0,2024-01-01,2024-01-07,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-01-07,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-01-07,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-01-07,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-01-07,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-01-07,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-01-07,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-01-07,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-01-07,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-01-07,6.64,93.02,94.64,1.62,-4.05,-2.43,1.74,-2.61
Full portfolio,,150.0,2024-01-01,2024-01-07,10.77,5931.05,4091.28,-79.41,28.27,-51.14,-1.34,-0.86
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-01-08,9.74,496.85,509.34,12.49,-1.0,11.49,2.51,2.31
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-01-08,5.72,291.87,276.68,-15.19,-1.0,-16.19,-5.21,-5.55
Pacific,UIMT.AS,7.0,2024-01-01,2024-01-08,69.67,487.68,472.71,-14.97,-11.58,-26.55,-3.07,-5.44
Europe,IESE.AS,15.0,2024-01-01,2024-01-08,58.12,871.76,958.8,87.04,-11.69,75.35,9.98,8.64
USA,UIMP.AS,9.0,2024-01-01,2024-01-08,151.45,1363.08,1614.78,251.7,-3.11,248.59,18.47,18.24
PayPal,PYPL,3.0,2024-01-01,2024-01-08,188.81,566.43,185.22,-381.21,-1.5,-382.71,-67.3,-67.57
Cloudflare,NET,0.0,2024-01-01,2024-01-08,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-01-08,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-01-08,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-01-08,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-01-08,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-01-08,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-01-08,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-01-08,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-01-08,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-01-08,6.64,93.02,94.46,1.44,-4.05,-2.61,1.55,-2.8
Full portfolio,,150.0,2024-01-01,2024-01-08,10.77,5931.05,4111.99,-58.7,28.27,-30.43,-0.99,-0.51
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-01-09,9.74,496.85,513.47,16.62,-1.0,15.62,3.34,3.14
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-01-09,5.72,291.87,274.53,-17.34,-1.0,-18.34,-5.94,-6.28
Pacific,UIMT.AS,7.0,2024-01-01,2024-01-09,69.67,487.68,473.34,-14.34,-11.58,-25.92,-2.94,-5.31
Europe,IESE.AS,15.0,2024-01-01,2024-01-09,58.12,871.76,957.9,86.14,-11.69,74.45,9.88,8.54
USA,UIMP.AS,9.0,2024-01-01,2024-01-09,151.45,1363.08,1630.62,267.54,-3.11,264.43,19.63,19.4
PayPal,PYPL,3.0,2024-01-01,2024-01-09,188.81,566.43,183.15,-383.28,-1.5,-384.78,-67.67,-67.93
Cloudflare,NET,0.0,2024-01-01,2024-01-09,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-01-09,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-01-09,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-01-09,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-01-09,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-01-09,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-01-09,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-01-09,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-01-09,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-01-09,6.64,93.02,93.77,0.75,-4.05,-3.3,0.8,-3.55
Full portfolio,,150.0,2024-01-01,2024-01-09,10.77,5931.05,4126.78,-43.91,28.27,-15.64,-0.74,-0.26
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-01-10,9.74,496.85,515.92,19.07,-1.0,18.07,3.84,3.64
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-01-10,5.72,291.87,272.65,-19.22,-1.0,-20.22,-6.59,-6.93
Pacific,UIMT.AS,7.0,2024-01-01,2024-01-10,69.67,487.68,476.63,-11.05,-11.58,-22.63,-2.27,-4.64
Europe,IESE.AS,15.0,2024-01-01,2024-01-10,58.12,871.76,958.95,87.19,-11.69,75.5,10.0,8.66
USA,UIMP.AS,9.0,2024-01-01,2024-01-10,151.45,1363.08,1626.3,263.22,-3.11,260.11,19.31,19.08
PayPal,PYPL,3.0,2024-01-01,2024-01-10,188.81,566.43,182.88,-383.55,-1.5,-385.05,-67.71,-67.98
Cloudflare,NET,0.0,2024-01-01,2024-01-10,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-01-10,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-01-10,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-01-10,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-01-10,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-01-10,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-01-10,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-01-10,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-01-10,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-01-10,6.64,93.02,93.31,0.29,-4.05,-3.76,0.31,-4.04
Full portfolio,,150.0,2024-01-01,2024-01-10,10.77,5931.05,4126.64,-44.05,28.27,-15.78,-0.74,-0.27
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-01-11,9.74,496.85,514.08,17.23,-1.0,16.23,3.47,3.27
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-01-11,5.72,291.87,272.95,-18.92,-1.0,-19.92,-6.48,-6.82
Pacific,UIMT.AS,7.0,2024-01-01,2024-01-11,69.67,487.68,476.84,-10.84,-11.58,-22.42,-2.22,-4.6
Europe,IESE.AS,15.0,2024-01-01,2024-01-11,58.12,871.76,954.0,82.24,-11.69,70.55,9.43,8.09
USA,UIMP.AS,9.0,2024-01-01,2024-01-11,151.45,1363.08,1620.9,257.82,-3.11,254.71,18.91,18.69
PayPal,PYPL,3.0,2024-01-01,2024-01-11,188.81,566.43,184.05,-382.38,-1.5,-383.88,-67.51,-67.77
Cloudflare,NET,0.0,2024-01-01,2024-01-11,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-01-11,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-01-11,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-01-11,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-01-11,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-01-11,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-01-11,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-01-11,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-01-11,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-01-11,6.64,93.02,93.27,0.25,-4.05,-3.8,0.27,-4.08
Full portfolio,,150.0,2024-01-01,2024-01-11,10.77,5931.05,4116.09,-54.6,28.27,-26.33,-0.92,-0.44
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-01-12,9.74,496.85,519.79,22.94,-1.0,21.94,4.62,4.42
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-01-12,5.72,291.87,275.66,-16.21,-1.0,-17.21,-5.56,-5.9
Pacific,UIMT.AS,7.0,2024-01-01,2024-01-12,69.67,487.68,484.26,-3.42,-11.58,-15.0,-0.7,-3.08
Europe,IESE.AS,15.0,2024-01-01,2024-01-12,58.12,871.76,964.05,92.29,-11.69,80.6,10.59,9.25
