Datum,Tijd,Product,ISIN,Beurs,Uitvoeringsplaats,Aantal,Koers,Unnamed: 8,Lokale waarde,Unnamed: 10,Waarde,Unnamed: 12,Wisselkoers,Transactiekosten en/of,Unnamed: 15,Totaal,Unnamed: 17,Order ID
08-02-2021,21:34,BLOCK INC.,US8522341036,NSY,XNAS,-1.0,259.0,USD,259.0,USD,214.83,EUR,1.2056,-0.5,EUR,214.33,EUR,d450352c-0d08-474a-a695-50f8929d9cbc
08-02-2021,16:12,BLOCK INC.,US8522341036,NSY,SOHO,1.0,257.0,USD,-257.0,USD,-213.15,EUR,1.2057,-0.5,EUR,-213.65,EUR,daaaec75-d8d4-4546-bbe8-ede1d16bad3d
04-02-2021,15:30,GAMESTOP CORPORATION C,US36467W1099,NSY,XNYS,-1.0,91.1,USD,91.1,USD,75.99,EUR,1.1988,-0.5,EUR,75.49,EUR,e1485f8d-e73e-41d3-a31c-deef61341822
02-02-2021,16:18,BLACKBERRY LTD,CA09228F1036,NSY,SOHO,-3.0,12.22,USD,36.66,USD,30.47,EUR,1.2033,-0.51,EUR,29.96,EUR,ddd69e05-e4dd-415e-bbc2-6ebf7504b52e
01-02-2021,21:14,BLACKBERRY LTD,CA09228F1036,NSY,XNAS,-3.0,14.7,USD,44.1,USD,36.55,EUR,1.2066,-0.51,EUR,36.04,EUR,ced6e452-7a09-406f-97d9-8c1beb9c035b
27-01-2021,18:06,SALESFORCE.COM INC COM,US79466L3024,NSY,CDED,-1.0,225.41,USD,225.41,USD,186.27,EUR,1.2101,-0.5,EUR,185.77,EUR,cc3be391-276f-478d-89a5-993357262c05
27-01-2021,17:19,GAMESTOP CORPORATION C,US36467W1099,NSY,CDED,1.0,344.88,USD,-344.88,USD,-285.21,EUR,1.2092,-0.5,EUR,-285.71,EUR,254344ad-98bc-4824-9aa9-4ff83eff0258
25-01-2021,16:14,BLACKBERRY LTD,CA09228F1036,NSY,ARCX,6.0,19.2,USD,-115.2,USD,-95.05,EUR,1.212,-0.52,EUR,-95.57,EUR,918dc41e-a6d8-4555-876a-2e3afb47f8e3
22-01-2021,21:58,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,XNYS,-3.0,32.5,USD,97.5,USD,80.12,EUR,1.2169,-0.51,EUR,79.61,EUR,184ebcda-aad1-4ae3-9b8e-d16190bfeba8
22-01-2021,21:43,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,XNAS,-4.0,32.5,USD,130.0,USD,106.82,EUR,1.217,-0.51,EUR,106.31,EUR,cf057fca-537a-48f5-be9c-436e1240fa4f
12-01-2021,17:47,MONGODB INC,US60937P1066,NDQ,ARCX,1.0,365.0,USD,-365.0,USD,-300.16,EUR,1.216,-0.5,EUR,-300.66,EUR,b68a622b-5804-4c70-b8be-889464af27ad
10-12-2020,16:34,CLOUDFLARE INC,US18915M1071,NSY,CDED,2.0,81.76,USD,-163.52,USD,-134.87,EUR,1.2124,-0.51,EUR,-135.38,EUR,7b8671b1-cc43-4f4a-b7d8-95b8f13fed5f
04-12-2020,10:29,ISHARES MSCI EM SRI UCITS ETF USD (ACC),IE00BYVJRP78,XET,XETA,14.0,6.644,EUR,-93.02,EUR,-93.02,EUR,,-4.05,EUR,-97.07,EUR,9db176ec-026a-4c5f-866c-7c399631dab1
04-12-2020,10:28,UBS ETF (LU) MSCI PACIFIC SOCIALLY RESPONSIBLE UCITS ETF (USD) A-DIS,LU0629460832,EAM,XAMS,2.0,67.07,EUR,-134.14,EUR,-134.14,EUR,,-2.04,EUR,-136.18,EUR,f39e31f0-50ca-4ae5-a547-e70213d74ad2
04-12-2020,10:28,ISHARES MSCI EUROPE SRI UCITS ETF EUR (ACC),IE00B52VJ196,EAM,XAMS,4.0,49.745,EUR,-198.98,EUR,-198.98,EUR,,-2.06,EUR,-201.04,EUR,d01d81a7-92b3-4a7a-9f18-e8cf3f1fa3cd
04-12-2020,10:27,UBS ETF (LU) MSCI USA SOCIALLY RESPONSIBLE UCITS ETF (USD) A-DIS,LU0629460089,EAM,XAMS,3.0,127.04,EUR,-381.12,EUR,-381.12,EUR,,-2.11,EUR,-383.23,EUR,af6699ab-9e79-4467-ba31-2e223f2d0a3e
03-12-2020,16:52,SALESFORCE.COM INC COM,US79466L3024,NSY,XNAS,1.0,223.8,USD,-223.8,USD,-183.91,EUR,1.2169,-0.5,EUR,-184.41,EUR,6a1fb3cc-ce6c-4021-bf22-9a66b3a38b14
27-11-2020,15:53,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,CDED,1.0,32.4,USD,-32.4,USD,-27.14,EUR,1.1939,-0.5,EUR,-27.64,EUR,fa212d9d-7ab2-4d3f-b52b-a2abe5b2a54a
27-11-2020,15:32,PALANTIR TECHNOLOGIES INC-A,US69608A1088,NSY,CDED,6.0,32.57,USD,-195.42,USD,-163.68,EUR,1.1939,-0.52,EUR,-164.2,EUR,f12db558-c7e8-46ca-964b-220b43601c82
